Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COL,42380,42607,44174,45754,48756,49362,52726,53998,54237,56075,59448,60472,62474,72089,69095,76550,74773,77234.373,77844.467,78231.154,77086.715
HRV,10879,12373,12241,12702,13496,12698,12570,12167,12375,13033,14432,10951,10396,13660,13159,10983,12284,11522.9,13181.6,12250.1,12875.1
CYP,3205,3364,3574,3830,3976,4131,4397,4606,4806,4949,5101,4699,4543,4119,4145,4314,4668,4778.28,4827.281,4913.788,4650.317
GEO,7291,6768,7071,7141,6836,7190,7168,8245,8346,8195,10046,10106,9469,9860,10154,10592,11365,11315.8,11933.7,11620.302,10943.2
MLT,1802,1825,1927,2100,2081,2114,2129,2165,2185,2046,1993,2053,2172,2137,2137,1241,807,1602.516,1912.27,2001.182,2080.8
MDA,5358,5700,5453,5692,5542,5701,5676,5548,5736,5809,5736,5425,5441,4129,4998,5641,5431,4603,5010,5272,5742
ROU,48625,50423,51056,51317,52693,55504,58350,56165,60100,52759,55923,56490,53694,54134,60699,61277,60256,59355.43,60175.52,55177.212,51923.72
UKR,0,0,0,0,0,0,0,181004,177408,159171,173938,179635,183397,179084,168430,150650,151889,144905.8,147093.2,142533.302,137197
SRB,0,0,0,0,0,0,33955,34082,34769,35769,35701,35793,34202,37170,31899,35639,36628,34298.552,34783.407,34564.952,35273.872
MNE,,,,,,2750,2840,2039,2687,2679,3876,2503,2703,3809,3038,2872,3023,2363.8,3677,3304.6,3235.9
CRI,6840,6664,7264,7386,8102,8162,8589,8948,9383,9242,9482,9741,10065,10126,10100,10688,10631,11124.607,11314.524,11265.772,11467.916
MKD,6327,5856,5610,6267,6199,6463,6550,5973,5802,6334,6827,6284,5797,5672,4976,5278,5284,5226.865,5282.753,5500.814,5032.757
